sit,Mid,Mid,North,North,South,South
pro,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2019-07-03 23:00:00,42029.2515114,0.0,8537.93900354,13.792097916,5021.17803575,0.0
2019-07-04 00:00:00,41106.8620674,0.0,8436.13650726,28.5693456832,4610.11977512,0.0
2019-07-04 01:00:00,41264.4369307,0.0,8324.20215919,51.2277922595,4295.83532024,0.0
2019-07-04 02:00:00,42118.6079888,0.0,8117.63389032,99.5001349655,4152.97874983,0.0
2019-07-04 03:00:00,44465.5133682,20.5608603314,8238.43304752,165.505174992,4040.5368041,0.0
2019-07-04 04:00:00,51373.3889346,288.106510733,9048.09022026,290.619206087,4035.00687234,0.0
2019-07-04 05:00:00,56651.9630463,1382.66696407,9918.6199796,487.649176316,4032.91262729,45.4120438228
2019-07-04 06:00:00,57498.3502583,4074.02759891,10190.2630552,735.906938804,3752.55964556,452.031800673
2019-07-04 07:00:00,56355.0482361,6171.42620228,10246.4949936,994.016199804,3316.69901069,1509.08810297
2019-07-04 08:00:00,56195.8594885,7560.46754198,10279.9024545,1231.43731393,3202.83507291,2597.14168535
2019-07-04 09:00:00,56335.708224,8858.96984572,10145.1937979,1415.66033609,2823.2919417,3301.10747966
2019-07-04 10:00:00,54159.8099147,9871.31230433,10119.1163246,1525.01196957,2650.13635046,3692.69537531
2019-07-04 11:00:00,52877.319117,10202.5889878,9992.12437553,1560.47736421,2538.35375451,3932.58805699
2019-07-04 12:00:00,50164.2360252,11922.1817826,9872.18039216,1566.38826332,2020.32493643,4015.59557681
2019-07-04 13:00:00,50103.1176772,10883.1585541,9931.31286353,1459.9920794,2188.71942613,4001.11752103
2019-07-04 14:00:00,50063.8296361,9665.69097772,9793.77552514,1297.44235396,2418.8962008,3889.83427914
2019-07-04 15:00:00,51595.0164952,7764.58751865,9867.29993482,1102.38268343,2643.84608617,3611.42838679
2019-07-04 16:00:00,53263.0963709,5481.58134689,9934.06609831,825.555575259,3060.11705223,3113.13009966
2019-07-04 17:00:00,54223.9416665,3201.52698181,9939.12490261,552.669066492,3964.88584738,2076.56459762
2019-07-04 18:00:00,53689.7347243,1496.0570552,9945.42572974,328.054900431,5325.00899452,592.017985934
2019-07-04 19:00:00,53617.4681158,82.8923298632,9839.3442852,178.312123057,5758.15989642,57.4850018148
2019-07-04 20:00:00,52295.6381882,0.0,9776.51705242,76.8416883892,5718.87109248,0.0
2019-07-04 21:00:00,47605.8643586,0.0,9352.81164509,22.6584465763,6046.05872146,0.0
2019-07-04 22:00:00,44207.4357507,0.0,8897.99805905,10.8366483626,5652.51191139,0.0
2019-07-04 23:00:00,42401.0897561,0.0,8636.9677346,13.792097916,5090.30218272,0.0
2019-07-05 00:00:00,41489.2693577,0.0,8498.404573,28.5693456832,4638.6910892,0.0
2019-07-05 01:00:00,41584.3907691,0.0,8410.00732566,53.1980919618,4358.50788015,0.0
2019-07-05 02:00:00,42396.2856444,0.0,8230.35605036,95.559535561,4210.12137799,0.0
2019-07-05 03:00:00,44420.7871213,47.9923051794,8371.36566329,158.609126034,4127.17240163,0.0
2019-07-05 04:00:00,51311.41263,316.454033516,9171.55035972,285.693456832,4115.19088283,0.0
2019-07-05 05:00:00,56590.0488449,1375.40195711,10076.9613269,490.60462587,4090.18590072,42.5164326662
2019-07-05 06:00:00,58543.7945926,3124.66549836,10419.0261935,748.713886869,3779.11835998,431.00301801
2019-07-05 07:00:00,58015.5358386,4859.7171083,10437.2241367,1021.60039564,3424.33650892,1466.88813054
2019-07-05 08:00:00,57695.2325907,6757.69063442,10474.2918438,1253.11061065,3298.92247541,2548.05870279
2019-07-05 09:00:00,57813.0083764,8431.84850826,10400.2678022,1415.66033609,2969.98399132,3235.52109581
2019-07-05 10:00:00,56073.8003215,9184.29202258,10282.7546166,1530.92286868,2743.79499094,3644.19784419
2019-07-05 11:00:00,54745.6257642,9701.53252694,10173.1617637,1559.49221436,2658.18617134,3895.70461652
2019-07-05 12:00:00,52642.6650992,10675.5269453,10046.2074089,1613.67545617,2235.94677398,3964.0283814
2019-07-05 13:00:00,51548.1097622,10759.2971832,10132.8943085,1445.21483163,2421.96739593,3950.35729922
2019-07-05 14:00:00,51297.1014875,9503.73603269,9940.38591636,1318.13050083,2645.75307958,3808.59893664
2019-07-05 15:00:00,52743.0185082,7753.23833089,9956.27200273,1147.69957658,2895.6072609,3534.7817177
2019-07-05 16:00:00,54722.1157822,5199.56929909,9972.77358303,870.872468411,3326.19777148,3029.5371284
2019-07-05 17:00:00,55616.7916164,2977.03699438,9969.92142097,571.386913663,4158.47547647,2012.00670954
