",South,South,South,Mid,Mid,Mid,North,North,North"
"Timestep,Gas,PV,PHS,Gas,PV,PHS,Gas,PV,PHS"
223.00,4514.00,0.00,0.00,66311.00,0.00,0.00,14668.00,0.00,0.00
224.00,4833.80,52.20,0.00,68089.00,0.00,0.00,15130.00,0.00,0.00
225.00,5026.40,714.60,0.00,62836.00,4355.00,0.00,14923.00,0.00,0.00
226.00,4343.80,2176.20,0.00,60259.00,7385.00,0.00,15004.60,40.40,0.00
227.00,3638.80,3190.20,0.00,59468.00,9135.00,0.00,14993.20,68.80,0.00
228.00,3427.00,3546.00,0.00,58139.00,9625.00,0.00,14949.20,66.80,0.00
229.00,3362.80,3637.20,0.00,57160.00,10290.00,0.00,14949.00,60.00,0.00
230.00,2968.40,3531.60,0.00,58611.00,8265.00,0.00,15142.20,20.80,0.00
231.00,3508.20,3169.80,0.00,62157.00,4410.00,0.00,15691.40,13.60,0.00
232.00,4501.00,2352.00,0.00,67608.00,450.00,0.00,15887.00,0.00,0.00
233.00,5885.40,915.60,0.00,71829.00,0.00,0.00,15947.00,0.00,0.00
234.00,6643.20,136.80,0.00,71556.00,0.00,0.00,15704.00,0.00,0.00
235.00,7218.80,4.20,0.00,69464.00,0.00,0.00,15282.00,0.00,0.00
236.00,7417.00,0.00,0.00,65762.00,0.00,0.00,14839.00,0.00,0.00
237.00,7409.00,0.00,0.00,63570.00,0.00,0.00,14284.00,0.00,0.00
238.00,7223.00,0.00,0.00,61394.00,0.00,0.00,13546.00,0.00,0.00
239.00,6899.00,0.00,0.00,56034.00,0.00,0.00,12705.00,0.00,0.00
240.00,6500.00,0.00,0.00,52963.00,0.00,0.00,12142.00,0.00,0.00
241.00,5640.00,0.00,0.00,51161.00,0.00,0.00,11950.00,0.00,0.00
242.00,5050.00,0.00,0.00,50497.00,0.00,0.00,11913.00,0.00,0.00
243.00,4695.00,0.00,0.00,50940.00,0.00,0.00,11961.00,0.00,0.00
244.00,4533.00,0.00,0.00,51702.00,0.00,0.00,12168.00,0.00,0.00
245.00,4416.00,0.00,0.00,53915.00,0.00,0.00,12778.00,0.00,0.00
246.00,4413.00,0.00,0.00,59872.00,0.00,0.00,14325.00,0.00,0.00
247.00,4513.00,0.00,0.00,66632.00,0.00,0.00,15786.00,0.00,0.00
248.00,4844.80,46.20,0.00,68627.00,0.00,0.00,16217.00,0.00,0.00
249.00,5165.20,541.80,0.00,67291.00,1290.00,0.00,15987.00,0.00,0.00
250.00,4947.20,1513.80,0.00,66814.00,2560.00,0.00,15995.40,35.60,0.00
251.00,4470.20,2314.80,0.00,67163.00,3535.00,0.00,15968.40,83.60,0.00
252.00,4121.00,2769.00,0.00,66897.00,3645.00,0.00,15943.60,110.40,0.00
