", South, South, South "
"Timestep, Gas, PV, PHS "
615.00,4244.20,2902.80,0.00
616.00,4839.00,2487.00,0.00
617.00,5728.40,1476.60,0.00
618.00,6703.40,432.60,0.00
619.00,7300.80,31.20,0.00
620.00,8019.00,0.00,0.00
621.00,8072.00,0.00,0.00
622.00,7874.00,0.00,0.00
623.00,7517.00,0.00,0.00
624.00,7075.00,0.00,0.00
625.00,6260.00,0.00,0.00
626.00,5516.00,0.00,0.00
627.00,5151.00,0.00,0.00
628.00,4828.00,0.00,0.00
629.00,4706.00,0.00,0.00
630.00,4600.00,0.00,0.00
631.00,4561.00,0.00,0.00
632.00,4621.00,69.00,0.00
633.00,4017.00,606.00,0.00
634.00,3521.00,1698.00,0.00
635.00,3359.60,2489.40,0.00
636.00,3205.20,2863.80,0.00
637.00,3296.60,2903.40,0.00
638.00,3401.40,2721.60,0.00
639.00,3584.80,2356.20,0.00
640.00,4183.00,1710.00,0.00
641.00,5001.40,768.60,0.00
642.00,5666.40,162.60,0.00
643.00,6351.40,9.60,0.00
644.00,7365.00,0.00,0.00
645.00,7454.00,0.00,0.00
646.00,7279.00,0.00,0.00
647.00,6922.00,0.00,0.00
648.00,6570.00,0.00,0.00
649.00,5984.00,0.00,0.00
650.00,5270.00,0.00,0.00
651.00,4769.00,0.00,0.00
652.00,4440.00,0.00,0.00
653.00,4345.00,0.00,0.00
654.00,4335.00,0.00,0.00
655.00,4306.00,0.00,0.00
656.00,4257.80,55.20,0.00
657.00,3656.40,597.60,0.00
658.00,2757.00,1743.00,0.00
659.00,2480.60,2630.40,0.00
660.00,2606.20,2986.80,0.00
661.00,2858.60,3071.40,0.00
662.00,3044.40,2973.60,0.00
663.00,3108.20,2662.80,0.00
664.00,3504.40,2223.60,0.00
665.00,4317.00,1254.00,0.00
666.00,5369.40,363.60,0.00
667.00,6351.80,28.20,0.00
668.00,7010.00,0.00,0.00
669.00,7140.00,0.00,0.00
670.00,7154.00,0.00,0.00
671.00,6866.00,0.00,0.00
672.00,6406.00,0.00,0.00
673.00,5589.00,0.00,0.00
674.00,4987.00,0.00,0.00
675.00,4607.00,0.00,0.00
676.00,4464.00,0.00,0.00
677.00,4383.00,0.00,0.00
678.00,4399.00,0.00,0.00
679.00,4468.00,0.00,0.00
680.00,4956.20,46.80,0.00
681.00,5311.40,525.60,0.00
682.00,5258.20,1594.80,0.00
683.00,4981.60,2435.40,0.00
684.00,4813.20,2800.80,0.00
685.00,4803.00,2940.00,0.00
686.00,4364.60,2951.40,0.00
687.00,4667.40,2835.60,0.00
688.00,5156.40,2460.60,0.00
689.00,6051.20,1510.80,0.00
690.00,7094.80,442.20,0.00
691.00,7603.60,35.40,0.00
692.00,8170.00,0.00,0.00
693.00,8170.00,0.00,0.00
694.00,7951.00,0.00,0.00
695.00,7597.00,0.00,0.00
696.00,7081.00,0.00,0.00
697.00,6206.00,0.00,0.00
698.00,5478.00,0.00,0.00
699.00,5107.00,0.00,0.00
700.00,4863.00,0.00,0.00
701.00,4754.00,0.00,0.00
702.00,4747.00,0.00,0.00
703.00,4841.00,0.00,0.00
704.00,5096.60,98.40,0.00
705.00,4978.20,1012.80,0.00
706.00,4293.80,2653.20,0.00
707.00,3823.80,3535.20,0.00
708.00,3614.00,3876.00,0.00
709.00,3626.80,3931.20,0.00
710.00,3224.80,3844.20,0.00
711.00,3643.00,3621.00,0.00
712.00,4294.20,3109.80,0.00
713.00,5433.00,1878.00,0.00
714.00,6764.60,560.40,0.00
715.00,7412.20,43.80,0.00
716.00,8068.00,0.00,0.00
717.00,8134.00,0.00,0.00
718.00,7936.00,0.00,0.00
719.00,7611.00,0.00,0.00
720.00,7108.00,0.00,0.00
721.00,6143.00,0.00,0.00
722.00,5424.00,0.00,0.00
723.00,5052.00,0.00,0.00
