Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-10 15:00:00,2352.26,4501.16,0.00,0.00
2016-01-10 16:00:00,915.33,5885.56,0.00,0.00
2016-01-10 17:00:00,136.76,6642.94,0.00,0.00
2016-01-10 18:00:00,4.19,7218.82,0.00,0.00
2016-01-10 19:00:00,0.00,7416.56,0.00,0.00
2016-01-10 20:00:00,0.00,7409.19,0.00,0.00
2016-01-10 21:00:00,0.00,7223.01,0.00,0.00
2016-01-10 22:00:00,0.00,6898.59,0.00,0.00
2016-01-10 23:00:00,0.00,6499.51,0.00,0.00
2016-01-11 00:00:00,0.00,5639.61,0.00,0.00
2016-01-11 01:00:00,0.00,5049.75,0.00,0.00
2016-01-11 02:00:00,0.00,4694.91,0.00,0.00
2016-01-11 03:00:00,0.00,4532.70,0.00,0.00
2016-01-11 04:00:00,0.00,4415.65,0.00,0.00
2016-01-11 05:00:00,0.00,4412.89,0.00,0.00
2016-01-11 06:00:00,0.00,4513.35,0.00,0.00
2016-01-11 07:00:00,46.06,4845.16,0.00,0.00
2016-01-11 08:00:00,541.62,5165.27,0.00,0.00
2016-01-11 09:00:00,1513.63,4947.17,0.00,0.00
2016-01-11 10:00:00,2314.92,4470.30,0.00,0.00
2016-01-11 11:00:00,2769.01,4121.28,0.00,0.00
2016-01-11 12:00:00,2951.29,3950.98,0.00,0.00
2016-01-11 13:00:00,2953.08,3397.12,0.00,0.00
2016-01-11 14:00:00,2721.56,3777.96,0.00,0.00
2016-01-11 15:00:00,2031.37,4571.36,0.00,0.00
2016-01-11 16:00:00,915.28,5599.90,0.00,0.00
2016-01-11 17:00:00,185.32,6366.73,0.00,0.00
2016-01-11 18:00:00,9.40,7020.07,0.00,0.00
2016-01-11 19:00:00,0.00,7321.63,0.00,0.00
2016-01-11 20:00:00,0.00,7354.81,0.00,0.00
2016-01-11 21:00:00,0.00,7100.43,0.00,0.00
2016-01-11 22:00:00,0.00,6856.19,0.00,0.00
2016-01-11 23:00:00,0.00,6481.08,0.00,0.00
2016-01-12 00:00:00,0.00,5625.78,0.00,0.00
2016-01-12 01:00:00,0.00,5044.22,0.00,0.00
2016-01-12 02:00:00,0.00,4719.80,0.00,0.00
2016-01-12 03:00:00,0.00,4552.06,0.00,0.00
2016-01-12 04:00:00,0.00,4446.07,0.00,0.00
2016-01-12 05:00:00,0.00,4412.89,0.00,0.00
2016-01-12 06:00:00,0.00,4516.11,0.00,0.00
2016-01-12 07:00:00,56.92,4844.45,0.00,0.00
2016-01-12 08:00:00,766.12,4909.43,0.00,0.00
2016-01-12 09:00:00,2240.10,4261.26,0.00,0.00
2016-01-12 10:00:00,3265.09,3563.45,0.00,0.00
2016-01-12 11:00:00,3737.52,3140.79,0.00,0.00
2016-01-12 12:00:00,3897.92,2974.86,0.00,0.00
2016-01-12 13:00:00,3823.30,2509.40,0.00,0.00
2016-01-12 14:00:00,3502.12,2963.29,0.00,0.00
2016-01-12 15:00:00,2794.83,3730.49,0.00,0.00
2016-01-12 16:00:00,1434.89,5034.20,0.00,0.00
2016-01-12 17:00:00,322.57,6101.37,0.00,0.00
2016-01-12 18:00:00,13.50,6883.25,0.00,0.00
2016-01-12 19:00:00,0.00,7278.31,0.00,0.00
2016-01-12 20:00:00,0.00,7219.33,0.00,0.00
