,Mid,Mid,South,South,North,North
,gas,photovoltaics,gas,photovoltaics,gas,photovoltaics
timeindex,,,,,,
2015-07-18 11:00:00,44130.3497746,19482.8147275017,2433.12219752,3950.2623611502117,8991.90088229,1174.2986225634759
2015-07-18 12:00:00,42048.247433,20113.1145170788,2111.8815061,3906.527556576588,8904.89128731,1142.773827326872
2015-07-18 13:00:00,42104.6647025,19032.4606357382,2366.81751418,3765.8768048200923,8925.75483128,1052.14004102164
2015-07-18 14:00:00,42197.8531312,17344.307126772197,2779.43011584,3460.1762171346963,8942.04970742,908.308162754636
2015-07-18 15:00:00,44392.892175,14755.3309245373,3164.47331384,3020.755356854616,9053.72872203,738.862388357892
2015-07-18 16:00:00,47777.3090502,10877.051367834149,3723.53491828,2384.274707804664,9023.34407247,551.68391664056
2015-07-18 17:00:00,51451.9697661,6219.4694006746,4657.31051177,1338.057168583218,9033.71393548,347.75789745378
2015-07-18 18:00:00,52600.5594937,2427.65742244425,5534.81275873,316.77669593487,8937.95385384,186.193321866188
2015-07-18 19:00:00,53905.0289888,31.69375190935,5709.8432911,29.30421782574,8842.40522408,70.93078928236001
2015-07-18 20:00:00,52863.4841896,0.0,5621.17563143,0.0,8913.98756209,9.851498511439999
2015-07-18 21:00:00,48474.4477517,0.0,6012.87913092,0.0,8535.9765306,0.0
2015-07-18 22:00:00,44945.3473059,0.0,5717.0277819,0.0,8049.8354872,0.0
2015-07-18 23:00:00,42903.5998386,0.0,5093.0671486,0.0,7755.75016465,0.0
2015-07-19 00:00:00,41832.2829322,0.0,4635.00446802,0.0,7623.75727765,2.955449553432
2015-07-19 01:00:00,41807.3015515,0.0,4363.11615662,0.0,7546.62112197,11.821798213728
2015-07-19 02:00:00,42425.1103145,0.0,4191.68827214,0.0,7398.86583735,30.539645385460002
2015-07-19 03:00:00,44461.0928478,0.0,4152.97874983,0.0,7386.42225796,66.990189877784
2015-07-19 04:00:00,49883.8043083,1358.7725979146999,4157.5870263,0.0,7958.51101834,159.594275885304
2015-07-19 05:00:00,53336.2018442,3730.88007221115,4203.18249532,19.842056778335998,8616.5255549,294.559805492012
2015-07-19 06:00:00,53086.0413559,7421.745351264999,3882.13064961,314.165898990348,8959.09941977,471.886778697908
2015-07-19 07:00:00,50014.0587951,11766.81750935305,3500.34760209,1356.775791524826,9142.42980295,668.9167489266799
2015-07-19 08:00:00,47688.8986935,15750.356965512648,3086.54140322,2673.8041774458356,9216.06866427,904.36756335006
2015-07-19 09:00:00,46265.3714626,18727.5339162444,2643.4216918,3433.9733096188083,9077.74518259,1097.456934174256
2015-07-19 10:00:00,43884.5391193,20233.057110113452,2459.08021526,3810.940742383656,8936.17178407,1225.5264148229562
2015-07-19 11:00:00,42428.8160825,20746.21343368115,2381.01002194,3978.4114991156516,8813.15802868,1275.769057231296
2015-07-19 12:00:00,42061.8321361,20398.34556095815,1982.51424864,3991.655359979664,8658.95307919,1346.699846513652
2015-07-19 13:00:00,42420.754913,19055.5407103924,2202.23508968,3913.8694340448055,8677.61921803,1243.259112143548
2015-07-19 14:00:00,42864.9738304,17049.02467221105,2508.76993919,3721.619840857566,8640.27744489,1091.546035067392
2015-07-19 15:00:00,45479.5489448,14231.7160445386,2852.65804583,3308.6075872465804,8747.75898712,876.783367518032
2015-07-19 16:00:00,48883.7244055,9985.86021619325,3353.455822,2718.409247667636,8811.27369425,632.466204434356
2015-07-19 17:00:00,51858.7617699,5766.5579246744,4178.51907705,1685.973551710884,8805.38152771,411.792637778132
2015-07-19 18:00:00,53033.0615568,2305.5009743987,5350.39122951,407.189385274122,8807.96103409,221.65871650736798
2015-07-19 19:00:00,54293.5697633,29.40355707045,5637.89858685,34.889740985832,8770.14156981,87.678336751804
2015-07-19 20:00:00,52786.6184026,0.0,5639.60873729,0.0,8863.67755781,6.896048958008
2015-07-19 21:00:00,48581.0990312,0.0,5919.79194634,0.0,8581.73980784,0.0
2015-07-19 22:00:00,45256.6537433,0.0,5631.31383966,0.0,8099.34985273,0.0
2015-07-19 23:00:00,43201.4547632,0.0,5127.16839444,0.0,7779.00691209,0.0
2015-07-20 00:00:00,41961.0331255,0.0,4677.4006115,0.0,7643.73280118,0.985149851144
2015-07-20 01:00:00,41852.4602013,0.0,4355.74291427,0.0,7561.86040735,10.836648362584
2015-07-20 02:00:00,42727.7693508,0.0,4179.70675333,0.0,7316.57682699,29.554495534316
2015-07-20 03:00:00,44741.6529703,0.0,4137.31060986,0.0,7358.05025015,75.856538538076
2015-07-20 04:00:00,49919.7805653,1126.7885840396,4129.93736751,0.0,7852.99502808,193.089370824196
2015-07-20 05:00:00,53940.8407609,3279.0119071931003,4171.3239154,24.050977913136002,8452.7651137,345.787597751496
2015-07-20 06:00:00,52893.0905018,7577.22413421645,3877.94384639,360.74884568526596,8823.79246227,633.4513542855001
2015-07-20 07:00:00,49486.8032068,12113.43849821935,3396.20124139,1442.489046363942,8937.60164931,895.501214689764
2015-07-20 08:00:00,47020.0461116,16011.82087628615,3127.19225134,2696.7475445340237,8835.59090935,1140.8035276245841
2015-07-20 09:00:00,45323.31614,18881.7149221205,2656.22530435,3451.5843217354623,8634.97588163,1381.180091303688
2015-07-20 10:00:00,43312.6583148,20460.002695342948,2436.66334989,3823.219399528782,8428.55016326,1520.086220314972
2015-07-20 11:00:00,40979.7649761,21303.6214108582,2370.15543585,3989.2660852001336,8204.52955034,1588.0615600438962
2015-07-20 12:00:00,42351.6114184,18642.3513915423,1921.01496588,4031.956570995954,8087.60991792,1546.6852662958559
2015-07-20 13:00:00,42598.2663091,17423.344295323303,2118.78621242,3953.0788572479337,8028.98798429,1474.769327162352
2015-07-20 14:00:00,44102.8486445,15433.5466794659,2390.97477027,3755.5443781245117,8004.71785896,1343.74439696022
2015-07-20 15:00:00,47032.5272769,12378.96114317955,2614.28368589,3461.268004947858,8220.27616525,1131.9371789642921
2015-07-20 16:00:00,49793.7718755,8761.623841758801,3101.9532669,2859.31316761269,8353.67543719,846.2437221325721
2015-07-20 17:00:00,51929.4174071,5106.9181945501505,4008.16756362,1777.98436524042,8406.14987083,550.698766789416
2015-07-20 18:00:00,52471.3983299,1635.38996453885,5225.38790556,468.598494011544,8386.95895107,294.559805492012
2015-07-20 19:00:00,52808.3487662,2.2901948388921003,5611.98917821,40.522733181275996,8449.26769017,118.217982137264
2015-07-20 20:00:00,51528.9019628,0.0,5659.88515374,0.0,8676.63842839,7.881198809152
2015-07-20 21:00:00,47796.1071814,0.0,5891.22063226,0.0,8463.20541762,0.0
2015-07-20 22:00:00,44750.3003714,0.0,5576.93617737,0.0,8013.82503954,0.0
2015-07-20 23:00:00,42307.8899893,0.0,5023.02134634,0.0,7734.74407018,0.0
